@_fa,link,prism:url,dc:identifier,eid,dc:title,dc:creator,prism:publicationName,prism:issn,prism:volume,prism:pageRange,prism:coverDate,prism:coverDisplayDate,prism:doi,pii,citedby-count,affiliation,prism:aggregationType,subtype,subtypeDescription,article-number,source-id,openaccess,openaccessFlag,freetoread,freetoreadLabel,prism:eIssn,prism:issueIdentifier,pubmed-id
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145845563'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145845563?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85145845563&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85145845563&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S016748702200099X'}]",https://api.elsevier.com/content/abstract/scopus_id/85145845563,SCOPUS_ID:85145845563,2-s2.0-85145845563,The unintended consequences of confinement: Evidence from the rural area in Guatemala,Castillo J.G.,Journal of Economic Psychology,01674870,95,,2023-03-01,March 2023,10.1016/j.joep.2022.102587,S016748702200099X,0,"[{'@_fa': 'true', 'affilname': 'Escuela Superior Politecnica del Litoral Ecuador', 'affiliation-city': 'Guayaquil', 'affiliation-country': 'Ecuador'}]",Journal,ar,Article,102587,22915,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145818597'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145818597?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85145818597&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85145818597&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0022053122001843'}]",https://api.elsevier.com/content/abstract/scopus_id/85145818597,SCOPUS_ID:85145818597,2-s2.0-85145818597,Optimal orchestration of rewards and punishments in rank-order contests,Liu B.,Journal of Economic Theory,00220531,208,,2023-03-01,March 2023,10.1016/j.jet.2022.105594,S0022053122001843,0,"[{'@_fa': 'true', 'affilname': 'The Chinese University of Hong Kong, Shenzhen', 'affiliation-city': 'Shenzhen', 'affiliation-country': 'China'}]",Journal,ar,Article,105594,28981,0,False,,,10957235,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145728551'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145728551?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85145728551&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85145728551&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0022053122001831'}]",https://api.elsevier.com/content/abstract/scopus_id/85145728551,SCOPUS_ID:85145728551,2-s2.0-85145728551,Mediated talk: An experiment,Blume A.,Journal of Economic Theory,00220531,208,,2023-03-01,March 2023,10.1016/j.jet.2022.105593,S0022053122001831,0,"[{'@_fa': 'true', 'affilname': 'The University of Arizona', 'affiliation-city': 'Tucson', 'affiliation-country': 'United States'}]",Journal,ar,Article,105593,28981,0,False,,,10957235,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145229874'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85145229874?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85145229874&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85145229874&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0167487022001015'}]",https://api.elsevier.com/content/abstract/scopus_id/85145229874,SCOPUS_ID:85145229874,2-s2.0-85145229874,“One Bite at the apple”: Legislative bargaining without replacement,Kim D.G.,Journal of Economic Psychology,01674870,95,,2023-03-01,March 2023,10.1016/j.joep.2022.102589,S0167487022001015,0,"[{'@_fa': 'true', 'affilname': 'Sungkyunkwan University', 'affiliation-city': 'Seoul', 'affiliation-country': 'South Korea'}]",Journal,ar,Article,102589,22915,0,False,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85144338010'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85144338010?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85144338010&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85144338010&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0167487022001003'}]",https://api.elsevier.com/content/abstract/scopus_id/85144338010,SCOPUS_ID:85144338010,2-s2.0-85144338010,Take-it-or-leave-it offers in negotiations: Behavioral types and endogenous deadlines,Özyurt S.,Journal of Economic Psychology,01674870,95,,2023-03-01,March 2023,10.1016/j.joep.2022.102588,S0167487022001003,0,"[{'@_fa': 'true', 'affilname': 'York University', 'affiliation-city': 'Toronto', 'affiliation-country': 'Canada'}]",Journal,ar,Article,102588,22915,0,False,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146298126'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146298126?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85146298126&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85146298126&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0165188922002962'}]",https://api.elsevier.com/content/abstract/scopus_id/85146298126,SCOPUS_ID:85146298126,2-s2.0-85146298126,A Social Network Analysis of Occupational Segregation,Buhai I.S.,Journal of Economic Dynamics and Control,01651889,147,,2023-02-01,February 2023,10.1016/j.jedc.2022.104593,S0165188922002962,0,"[{'@_fa': 'true', 'affilname': 'CEPREMAP Centre pour la Recherche Économique et ses Applications', 'affiliation-city': 'Paris', 'affiliation-country': 'France'}, {'@_fa': 'true', 'affilname': 'Stockholms universitet', 'affiliation-city': 'Stockholm', 'affiliation-country': 'Sweden'}, {'@_fa': 'true', 'affilname': 'Universidade do Minho', 'affiliation-city': 'Braga', 'affiliation-country': 'Portugal'}]",Journal,ar,Article,104593,28976,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherfree2read'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Bronze'}, {'$': 'Green'}]}",,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146295917'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146295917?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85146295917&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85146295917&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0165188922002949'}]",https://api.elsevier.com/content/abstract/scopus_id/85146295917,SCOPUS_ID:85146295917,2-s2.0-85146295917,When is government debt accumulation optimal in a liquidity trap?,de Beauffort C.,Journal of Economic Dynamics and Control,01651889,147,,2023-02-01,February 2023,10.1016/j.jedc.2022.104591,S0165188922002949,0,"[{'@_fa': 'true', 'affilname': 'National Bank of Belgium', 'affiliation-city': 'Brussels', 'affiliation-country': 'Belgium'}]",Journal,ar,Article,104591,28976,0,False,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146292602'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146292602?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85146292602&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85146292602&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0167268122004681'}]",https://api.elsevier.com/content/abstract/scopus_id/85146292602,SCOPUS_ID:85146292602,2-s2.0-85146292602,Time pressure and regret in sequential search,Klimm F.,Journal of Economic Behavior and Organization,01672681,206,406-424,2023-02-01,February 2023,10.1016/j.jebo.2022.12.019,S0167268122004681,0,"[{'@_fa': 'true', 'affilname': 'Ludwig-Maximilians-Universität München', 'affiliation-city': 'Munich', 'affiliation-country': 'Germany'}]",Journal,ar,Article,,23865,0,False,"{'value': [{'$': 'all'}, {'$': 'repository'}, {'$': 'repositoryam'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Green'}]}",,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146236223'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146236223?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85146236223&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85146236223&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0167268122004425'}]",https://api.elsevier.com/content/abstract/scopus_id/85146236223,SCOPUS_ID:85146236223,2-s2.0-85146236223,Who promotes gender-sensitive policies?,Carozzi F.,Journal of Economic Behavior and Organization,01672681,206,371-405,2023-02-01,February 2023,10.1016/j.jebo.2022.11.031,S0167268122004425,0,"[{'@_fa': 'true', 'affilname': 'London School of Economics and Political Science', 'affiliation-city': 'London', 'affiliation-country': 'United Kingdom'}]",Journal,ar,Article,,23865,0,False,,,,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146223505'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146223505?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85146223505&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85146223505&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0165188922002901'}]",https://api.elsevier.com/content/abstract/scopus_id/85146223505,SCOPUS_ID:85146223505,2-s2.0-85146223505,(A)symmetric equilibria and adaptive learning dynamics in small-committee voting,Chernomaz K.,Journal of Economic Dynamics and Control,01651889,147,,2023-02-01,February 2023,10.1016/j.jedc.2022.104587,S0165188922002901,0,"[{'@_fa': 'true', 'affilname': 'San Francisco State University', 'affiliation-city': 'San Francisco', 'affiliation-country': 'United States'}]",Journal,ar,Article,104587,28976,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,,
true,"[{'@_fa': 'true', '@ref': 'self', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146094336'}, {'@_fa': 'true', '@ref': 'author-affiliation', '@href': 'https://api.elsevier.com/content/abstract/scopus_id/85146094336?field=author,affiliation'}, {'@_fa': 'true', '@ref': 'scopus', '@href': 'https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85146094336&origin=inward'}, {'@_fa': 'true', '@ref': 'scopus-citedby', '@href': 'https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85146094336&origin=inward'}, {'@_fa': 'true', '@ref': 'full-text', '@href': 'https://api.elsevier.com/content/article/eid/1-s2.0-S0165188922002937'}]",https://api.elsevier.com/content/abstract/scopus_id/85146094336,SCOPUS_ID:85146094336,2-s2.0-85146094336,"Cultural persistence in corruption, economic growth, and the environment",Varvarigos D.,Journal of Economic Dynamics and Control,01651889,147,,2023-02-01,February 2023,10.1016/j.jedc.2022.104590,S0165188922002937,0,"[{'@_fa': 'true', 'affilname': 'University of Leicester', 'affiliation-city': 'Leicester', 'affiliation-country': 'United Kingdom'}]",Journal,ar,Article,104590,28976,1,True,"{'value': [{'$': 'all'}, {'$': 'publisherhybridgold'}]}","{'value': [{'$': 'All Open Access'}, {'$': 'Hybrid Gold'}]}",,,
